name,price,reviews,url
"Apple iPhone 7 Plus, US Version, 32GB, Black - Unlocked (Renewed)",173,"14,288",https://m.media-amazon.com/images/I/71b4kAq+5QL._AC_UY218_.jpg
"Apple iPhone 7 Plus, US Version, 128GB, Black - Unlocked (Renewed)",203,"1,041",https://m.media-amazon.com/images/I/71b4kAq+5QL._AC_UY218_.jpg
"Apple iPhone 13 Mini, 128GB, Midnight - Unlocked (Renewed)",619,148,https://m.media-amazon.com/images/I/61hNJ-mjroL._AC_UY218_.jpg
"Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Verizon (Renewed)","1,149",61,https://m.media-amazon.com/images/I/61afOyd+zEL._AC_UY218_.jpg
"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",789,130,https://m.media-amazon.com/images/I/61BUt5ZErdL._AC_UY218_.jpg
"Apple iPhone 11 Pro, 64GB, Gold - for Boost Mobile (Renewed)",599,5,https://m.media-amazon.com/images/I/51uMkp3Cg6L._AC_UY218_.jpg
"Apple iPhone 13 Pro, 128GB, Sierra Blue - Unlocked (Renewed)",989,39,https://m.media-amazon.com/images/I/610xvgzVUDL._AC_UY218_.jpg
"Apple iPhone 12 Pro Max, 256GB, Pacific Blue - Unlocked (Renewed Premium)",939,89,https://m.media-amazon.com/images/I/71FuI8YvCNL._AC_UY218_.jpg
"Apple iPhone 11, 64GB, Black - for Boost Mobile (Renewed)",358,46,https://m.media-amazon.com/images/I/31y4MjzYDGL._AC_UY218_.jpg
"Apple iPhone 11 Pro, 64GB, Space Gray - Unlocked (Renewed Premium)",589,720,https://m.media-amazon.com/images/I/81LmL94PUvS._AC_UY218_.jpg
"Apple iPhone 11, 64GB, Red - for Cricket Wireless (Renewed)",367,13,https://m.media-amazon.com/images/I/51J6EtHx1uL._AC_UY218_.jpg
